userName,score,at,content
mzi azkia,1,2026-03-30 16:32:05,gila bgt gadai dsni BPKB bayar perpanjang nya bunga nya tinggi bgt astagfirullah laknatullah ya allah lillahi ta ala ga lagi lagi gadaiin BPKB dsni dpt pinjaman 2.3jt tpi bayar harus 10jt lebih karena perpanjang+ bunga nya yg astagfirullah nya tinggi bgt urusan kalian yg ngasih bunga tinggi akan saya pertanggungjawabkan di akhirat lillahi ta ala laknatullah dunia akhirat ga ikhlas
Tedi Chanel,1,2026-03-30 05:49:03,kenapa gk bisa di buka ya
Riee Rien HW,1,2026-03-29 12:05:27,lu harus banyak belajar dari indogadai. indogadai itu sebelum tgl jatoh tempo karyawannya udah pada bawel wa mengingatkan. klo pgi pada males tiba2 nasabah lupa baru kelewat 2hari tiba2 denda udah 80ribu kan gila
afrizal rasyidana,1,2026-03-29 07:08:55,"apk dengan offline sm2 ga jelas. mau pelunasan telat 2.5bln , bayar bunga + pokok nya, padahal di awal pencairan udah di potong awal, ya sama aja kalo fi bayar total bayar pokok nya 3.5bln sendiri. udah gt mau di tebus, HP nya udah di reset lagi, padahal dpt info via WA terakhir tgl sekian, pas kesana juga HP nya udah ke reset. mending pindah fi pandai gadai, itungan nya jelas, ini kagak danta pisan."
nayya keysa,1,2026-03-25 14:02:53,bunganya gede bgt dipotong di awal pas pelunasan pun full bunga nya.tdk ada kebijakan sy gade 2 hari doang tp tetep gda potongan byr full dah potong bunga di awal byr full ga seperti indogadai pake persentase ditebus brp hari ada potongan&indogadai ga dipotong bunga di awal
Maylani Triyanti,2,2026-03-25 09:47:44,daftar aja belom udh masuk aja. gada tulisan daftarnya. loll
Setia Channel,1,2026-03-25 08:00:13,Pelayanan gak memuaskan Mau tebus hp ponakan sendri ribet banget . pusat gadai bayak ini itu.. Padahal ktp ada vidio call iyaa.. Masih ada di mintai berkas lain nya .. Pusat gadai apa ini.
Sutisna Trisna,5,2026-03-24 08:08:27,pelayanan mantap.
kartika 03,1,2026-03-24 02:39:13,aplikasi ga jls download ga bs di gunain masuk ke akun. atau daftar selalu bgtu jwbnya no handphone salah pdhl sy Bru ini menggunakan aplikasi pusat gadai
Risky Aqmal Fahrezi,1,2026-03-23 11:50:08,kocak banget pelayanan super lemot CS super slow respon begini ya standar kerja nya? gw bukan mau ngejelekin tapi yang gw rasain emang begitu anjir masa gw chat cs baru dibales jam 2 malem gila dikira gw kelelawar kali pokoknya mengecewakan banget gausah dipake
Suherli Karyawinangun,1,2026-03-22 12:23:07,"apk jelek parah,udah belasan kali login tapi ngga masuk masuk"
Sada Bright,5,2026-03-20 09:14:42,mantab
dede manisss,1,2026-03-18 15:04:52,"pelayananya bagus, hanya saja kecewa waktu pengambilan barang gadai(hp) karna buru-buru gak dicek lagi.waktu pengambilan lcd retak layar kadang error tiba-tiba dan pembayaran via online/Tf gak bisa semua bank/Dompet digital jdi harus tarik tunai jdi bulak balik."
Martono Abenk,5,2026-03-18 13:07:58,bagus
erni Chika,5,2026-03-17 14:25:05,sangat membantu
rizki mardanu,1,2026-03-17 00:33:30,"masa iya ga ke buka apk nya, udah nunggu 10 menit"
Wahyu Hidayat,5,2026-03-16 04:38:00,"aplikasinya mudah digunakan, lancar dan simple. good job pgi"
Bu Yung,1,2026-03-16 02:19:51,"gadai indoisia ciangsana jelek bgt pelayananya,masa orang mau Nebus barng ribet bgt padahal udah bawa duwit udah bawa KTP,masa harus bawa surat kan aneh,payah kapok saya gadai di situ"
Suripto Aja,5,2026-03-14 02:00:33,mantap jdi gampang untuk transaksi
Zidni Maulana,1,2026-03-11 13:03:44,tidak ada kebijakan sama sekali waktu saya kasih informasi surat hilang dan posisi saya berada jauh dari cabang pusat gadai yang saya ajukan buat mengadaikan barang saya kepengen saya gpp gitu di wakilkan tapi di atas materai lah ini sama sekali GK bisa trus gmna caranya saya mau menebus dan tanda tangan surat hilang sedangkan saya tidak di lokasi cabang tsb waktu sya registrasi pake aplikasi ini gagal trus pdahal sya mengikuti ptunjuk nya jadi alhasil brang sya hngus sya merasa kcwa dan stop
Jamesh Bay,5,2026-03-11 08:42:59,sangat puas menggunakan aplikasi ini
Ramlan YT,1,2026-03-10 16:25:58,mau perpanjangan malan hari tidak bisa aneh banget aplikasi ini harusnya 24 jam bisa akses kalau telat gini jadi kena dendaa !!
Yefy Sudiar,1,2026-03-10 06:09:33,"tolong di perbaiki kinerja karyawan nya, kalau ada karyawan baru tolong di dampingin pas lagi ngelayanin customer. kesalahan nulis biaya perpanjangan , jadinya miskom sama customer pas mau bayar perpanjangan cabang ciputat 024"
Firman Firdaus,1,2026-03-08 12:59:19,aplikasi gak bisa dibuka
rizki Yansyah,1,2026-03-07 12:08:12,ko apk ga bisa di buka
Efendi Apud,5,2026-03-07 10:49:16,good
Juwita Aryani,2,2026-03-07 08:27:21,"saya baru pertama kali punya aplikasi gadai ini,tdinya enak bgt buat bayar perpanjangan ga repot,suau saat aplikasi saya kehapus.nah saya download ulang tapi ko malah ga bisa d buka..aneh bgt.sudah melakukan cara yg d kasih tau customer service.tetep saja ga bisa,gimana ini,kacau dah"
Pupung Wijatmoko,1,2026-03-07 05:02:32,"Jangan mau gadai di tempat ini cabang manapun , proses lama dapet nya GK bersih Nebus nya full lagi parah mending gadai2 yg lain dapet nya bersih proses cepet bunga nya cmn 80 ribu"
Iwan Ynci,3,2026-03-07 04:54:11,"aplikasi sudah sebulan lebih error,seharusnya bikin aplikasi memudahan utk pembayan dll,Krn tidak semua org punya waktu ke kantor cabang"
Deni Deni,1,2026-03-07 01:19:06,Kapok pinjam disini lagi ... DC nya kasar
Rahel Ahmid,5,2026-03-06 10:04:10,okk
LAMPOR OFFICIAL,1,2026-03-04 06:16:55,"hati² yg mau gadai disini,, barang langsung hangus kalo ga tepat waktu, nyesel banget gadai disini."
Galih Krisna Sukmadewa,5,2026-03-04 02:10:22,Memberi Solusi Tanpa Harus Umbar Privasi💡
Hendry Resmana,1,2026-03-03 10:01:15,"Pegadean Sangat Buruk, sangat merugikan ....."
Durokhim Kaspan,5,2026-03-03 03:57:22,mudah memperoleh informasi sekitar jumlah angsuran dan jatuh temponya
ultraman 69,4,2026-03-02 23:59:20,oke lumayan
Putri ambar arum,1,2026-03-02 08:10:54,"tolong lebih informatif dan simpati pada pelanggan ya para pegawai nya , selama perpanjang berbulanbulan baru tau kalo ada fitur ""cicilan"" untuk mengurangi pokok harga gadai barangnya, kalo tau saat bulan pertama perpanjang mungkin tidak akan keluar uang sebanyak ini:), kecewa, tolong di trainning lagi pegawai nya agar lebih simpati:)"
